adjust-26.9	adapt accommodate conform adjust gear fit readjust readapt assimilate
amuse-31.1	abash affect afflict affront aggravate aggrieve agitate agonize alarm alienate amaze amuse anger annoy antagonize appall appease arouse assuage astonish astound awe baffle befuddle beguile bewilder bewitch boggle bore bother browbeat bug calm captivate chagrin charm cheer chill cloy comfort concern confound confuse console content convince cow crush cut daunt daze dazzle deject delight demolish demoralize depress devastate disappoint disarm discombobulate discomfit disconcert discompose discourage disgrace disgruntle disgust dishearten dishonour disillusion dismay dispirit displease disquiet dissatisfy distract distress disturb divert dumbfound elate electrify embarrass embolden enchant encourage enervate enflame engage engross enlighten enliven enrage enrapture entertain enthrall enthuse entice entrance exasperate excite exhaust exhilarate fascinate fatigue faze flabbergast flatter floor flummox fluster fox frighten frustrate fuddle gall galvanize gladden gratify grieve harass harm haunt hearten horrify humble humiliate hurt hypnotize impair impress incense inflame infuriate inspire insult interest intimidate intoxicate intrigue invigorate irk irritate jade jar jollify jolt kill lull madden menace mesmerize miff misguide molest mollify mortify move muddle mystify nauseate nettle nonplus numb obsess occupy offend outrage overawe overwhelm pacify pain peeve perplex perturb pester pique placate plague please preoccupy provoke puzzle quench rag rankle ravish reassure recharge refresh rejuvenate relax relieve repel repulse revitalize revolt rile ruffle sadden satisfy scandalize scare shake shame shock sicken sober solace soothe spellbind spook stagger startle stimulate sting stir strike stump stun stupefy surprise tantalize tempt terrify terrorize threaten thrill throw tickle tire titillate torment torture touch transfix transport trouble try unnerve unsettle uplift upset vex weary worry wound wow roil smite
become-109.1	come_out get turn turn_up
being_dressed-41.3.3	attire clad garb outfit robe
bend-45.2	bend crease crinkle crumple distend flex fold furrow hyperextend roll round rumple scrunch splay straighten stretch unfold unfurl unroll unwind warp wrinkle unbend
body_internal_states-40.6	convulse cower quake quiver shake shiver shudder tremble writhe
braid-41.2.2	bob braid brush clip coldcream comb condition crimp crop curl cut dye file gel henna highlight lather manicure part perm paint plait pluck powder rinse rouge set shampoo soap style talc tease towel trim tweeze wave wax
break-45.1	break break_apart break_down break_up chip cleave crack crash crush dissolve fissure fracture fragment rend rive rip shatter shred sliver smash snap splinter split tear
build-26.1	arrange assemble bake bead blow cast chisel churn compile cook crochet develop embroider erect fashion fold forge formulate grind grow hack hammer knit mold pound reassemble refashion roll sculpture sew spin stitch weave whittle
change_bodily_state-40.8.4	blanch blench faint pale sicken black_out swoon doze doze_off drowse drowse_off drift_off konk_out nod_off pass_out zonk_out
coloring-24	color distemper dye enamel glaze japan lacquer paint repaint shellac spraypaint stain starch tint varnish
convert-26.6.2	advert come_around fall get get_around get_down go_back resort return revert settle_down take turn
cooking-45.3	bake barbecue barbeque blanch boil braise broil brown char charbroil charcoal-broil coddle cook crisp deep-fry french-fry fry grill hardboil heat microwave oven-fry oven-poach overbake overcook overheat pan-broil pan-fry parboil parch percolate perk pickle plank poach pot-roast reheat rissole roast saute scald scallop sear shirr simmer softboil steam steam-bake steep stew stir-fry toast warm_up
create-26.4	author coin compute concoct construct contrive cowrite create derive fabricate form formulate lay manufacture mass-produce model organize produce publish rearrange rebuild reconstitute reorganize style synthesize turn-out
cut-21.1	
dress-41.1.1	bathe change clothe disrobe dress exercise frock lave moisturize preen primp shave shower strip sunbathe tan unclothe undress wash
dressing_well-41.3.2	doll dress gussy spruce tog trick
